iter	Logloss
0	0.5971493883
1	0.5241142884
2	0.4707932093
3	0.4231541637
4	0.3938017964
5	0.3687338918
6	0.3500120738
7	0.332511799
8	0.3214128719
9	0.3124975493
10	0.3031825899
11	0.2977327919
12	0.2936356008
13	0.2884064332
14	0.2849045749
15	0.2821170718
16	0.2792482943
17	0.2764444212
18	0.2740750467
19	0.2725089454
20	0.2714231273
21	0.2699378008
22	0.2687752191
23	0.2677736309
24	0.2670865004
25	0.2662301535
26	0.2654809275
27	0.2648411241
28	0.2642367259
29	0.2636183152
30	0.2631288638
31	0.2627812128
32	0.2622283752
33	0.2618662699
34	0.2612943894
35	0.2609453345
36	0.2604445577
37	0.2602155322
38	0.2600566933
39	0.2595933228
40	0.2593488662
41	0.2591009365
42	0.2589616601
43	0.2586885371
44	0.2584589907
45	0.2583207675
46	0.2581562939
47	0.2579746899
48	0.2578661183
49	0.2577769298
50	0.2576074572
51	0.2575140482
52	0.2574282949
53	0.2572863482
54	0.2571625689
55	0.2570249924
56	0.2569354996
57	0.2568425144
58	0.256753667
59	0.256673307
60	0.2565755592
61	0.2564621806
62	0.25642242
63	0.2563058829
64	0.2562322932
65	0.256159451
66	0.2561283988
67	0.2560903053
68	0.2560541315
69	0.2560136933
70	0.255959463
71	0.2558890208
72	0.2558134106
73	0.2557027299
74	0.2556452764
75	0.255589517
76	0.2555468998
77	0.2555297637
78	0.2554197567
79	0.255299902
80	0.2552522955
81	0.2551978649
82	0.255087477
83	0.2550628315
84	0.2550254811
85	0.2549501612
86	0.2549090642
87	0.2548712527
88	0.2548327348
89	0.2547659993
90	0.2547466957
91	0.2546587243
92	0.2545931237
93	0.2545520298
94	0.2545360073
95	0.2545094409
96	0.2544751731
97	0.2544625505
98	0.2543760124
99	0.2543063838

