iter	Passed	Remaining
0	153	15179
1	334	16409
2	464	15005
3	608	14592
4	713	13549
5	821	12875
6	906	12043
7	1031	11864
8	1200	12135
9	1376	12391
10	1568	12688
11	1761	12918
12	1919	12842
13	2063	12677
14	2228	12626
15	2395	12578
16	2548	12441
17	2721	12397
18	2850	12152
19	2991	11965
20	3137	11802
21	3291	11670
22	3406	11404
23	3648	11552
24	3802	11406
25	3990	11356
26	4135	11180
27	4292	11037
28	4436	10861
29	4580	10688
30	4770	10617
31	5004	10635
32	5294	10749
33	5510	10696
34	5757	10692
35	6066	10784
36	6299	10725
37	6539	10670
38	6687	10459
39	6839	10259
40	7049	10144
41	7168	9899
42	7247	9607
43	7384	9398
44	7469	9129
45	7564	8879
46	7675	8655
47	7779	8427
48	7859	8180
49	7957	7957
50	8043	7727
51	8132	7507
52	8222	7291
53	8314	7082
54	8398	6871
55	8482	6664
56	8563	6459
57	8632	6250
58	8731	6067
59	8805	5870
60	8954	5725
61	9034	5537
62	9129	5361
63	9192	5170
64	9242	4976
65	9295	4788
66	9356	4608
67	9415	4430
68	9456	4248
69	9506	4074
70	9573	3910
71	9627	3744
72	9681	3580
73	9732	3419
74	9768	3256
75	9799	3094
76	9834	2937
77	9868	2783
78	9907	2633
79	9951	2487
80	9994	2344
81	10045	2205
82	10085	2065
83	10120	1927
84	10158	1792
85	10195	1659
86	10236	1529
87	10277	1401
88	10313	1274
89	10346	1149
90	10382	1026
91	10418	905
92	10450	786
93	10484	669
94	10523	553
95	10553	439
96	10583	327
97	10616	216
98	10679	107
99	10717	0
